Match List,,,,,,,,,,,,
Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,,Opposition,Ground,date
Ireland,lost,13,19,-6,1,1,2,0,,SouthAfrica,Port Elizabeth,25/06/2016
Ireland,won,40,29,11,5,3,3,0,,NewZealand,Chicago,05/11/2016
Ireland,won,52,21,31,8,6,0,0,,Canada,Lansdowne Road,12/11/2016
Ireland,lost,9,21,-12,0,0,3,0,,NewZealand,Lansdowne Road,19/11/2016
Ireland,won,27,24,3,3,3,2,0,,Australia,Lansdowne Road,26/11/2016
Ireland,lost,22,27,-5,3,2,1,0,,Scotland,Murrayfield,04/02/2017
Ireland,won,63,10,53,9,9,0,0,,Italy,Rome,11/02/2017
Ireland,won,19,9,10,1,1,3,1,,France,Lansdowne Road,25/02/2017
Ireland,lost,9,22,-13,0,0,3,0,,Wales,Millennium Stadium,10/03/2017
Ireland,won,13,9,4,1,1,2,0,,England,Lansdowne Road,18/03/2017
Ireland,won,55,19,36,9,5,0,0,,USA,Harrison,10/06/2017
Ireland,won,50,22,28,7,6,1,0,,Japan,Shizuoka,17/06/2017
Ireland,won,35,13,22,5,5,0,0,,Japan,Tokyo,24/06/2017
,,,,,,,,,,,,
,,,,,,,,,,,,
Ireland,won,38,3,35,4,3,4,0,,SouthAfrica,Lansdowne Road,11/11/2017
Ireland,won,23,20,3,3,1,2,0,,Fiji,Lansdowne Road,18/11/2017
Ireland,won,28,19,9,3,2,3,0,,Argentina,Lansdowne Road,25/11/2017
Ireland,won,15,13,2,0,0,4,1,,France,Stade de France,03/02/2018
Ireland,won,56,19,37,8,8,0,0,,Italy,Lansdowne Road,10/02/2018
Ireland,won,37,27,10,5,3,2,0,,Wales,Lansdowne Road,24/02/2018
Ireland,won,28,8,20,4,4,0,0,,Scotland,Lansdowne Road,10/03/2018
Ireland,won,24,15,9,3,3,1,0,,England,Twickenham,17/03/2018
Ireland,lost,9,18,-9,0,0,3,0,,Australia,Brisbane,09/06/2018
Ireland,won,26,21,5,2,2,4,0,,Australia,Melbourne,16/06/2018
Ireland,won,20,16,4,1,0,5,0,,Australia,Sydney,23/06/2018
Ireland,-,0,0,0,-,-,-,-,,Italy,Chicago,03/11/2018
Ireland,-,0,0,0,-,-,-,-,,Argentina,Lansdowne Road,10/11/2018
Ireland,-,0,0,0,-,-,-,-,,NewZealand,Lansdowne Road,17/11/2018
Ireland,-,0,0,0,-,-,-,-,,USA,Lansdowne Road,24/11/2018
Ireland,-,0,0,0,-,-,-,-,,Scotland,Yokohama,22/09/2019
Ireland,-,0,0,0,-,-,-,-,,Japan,Shizuoka,28/09/2019
Ireland,-,0,0,0,-,-,-,-,,Russia,Kobe,03/10/2019
